created_at,posts,likes,replies,shares,sentiment_pos,sentiment_neu,sentiment_neg,sentiment_compound
2025-06-12,4,86,0,0,0.25775000000000003,0.65225,0.09,0.15965000000000001
2025-06-13,2,0,0,0,0.0675,0.4405,0.492,-0.80615
2025-06-14,0,0,0,0,,,,
2025-06-15,0,0,0,0,,,,
2025-06-16,0,0,0,0,,,,
2025-06-17,0,0,0,0,,,,
2025-06-18,1,0,0,0,0.0,0.599,0.401,-0.9287
2025-06-19,0,0,0,0,,,,
2025-06-20,5,13,16,0,0.0838,0.7762,0.1406,-0.40005999999999997
2025-06-21,8,484,70,0,0.0365,0.77525,0.188375,-0.4354125
2025-06-22,4,5,0,0,0.038250000000000006,0.813,0.149,-0.335475
2025-06-23,5,343,41,0,0.065,0.744,0.19080000000000003,-0.55938
2025-06-24,7,176,14,0,0.05142857142857143,0.7748571428571429,0.1737142857142857,-0.9702285714285714
2025-06-25,8,76,69,0,0.037375,0.679125,0.2835,-0.7010125
2025-06-26,7,1634,162,0,0.04071428571428572,0.8668571428571428,0.09242857142857143,-0.16947142857142855
2025-06-27,2,182,11,0,0.0155,0.873,0.112,-0.465
2025-06-28,3,550,51,0,0.105,0.7496666666666667,0.14533333333333334,-0.4068333333333333
2025-06-29,2,2,16,0,0.16899999999999998,0.726,0.1055,0.41600000000000004
2025-06-30,4,5,6,0,0.1245,0.7110000000000001,0.16449999999999998,-0.025500000000000023
2025-07-01,6,20,1,0,0.04750000000000001,0.8098333333333333,0.1425,-0.5814333333333334
2025-07-02,0,0,0,0,,,,
2025-07-03,3,116,40,0,0.10866666666666668,0.75,0.14133333333333334,-0.7117333333333334
2025-07-04,5,343,117,0,0.0,0.6628000000000001,0.3372,-0.78864
2025-07-05,1,27,16,0,0.075,0.827,0.098,-0.5267
2025-07-06,8,299,55,0,0.01,0.813125,0.17675000000000002,-0.6114625
2025-07-07,0,0,0,0,,,,
2025-07-08,9,76,6,0,0.03066666666666667,0.8046666666666666,0.16455555555555557,-0.6275222222222223
2025-07-09,2,8,1,0,0.065,0.7969999999999999,0.138,-0.8367
2025-07-10,5,405,81,0,0.0502,0.772,0.178,-0.58256
2025-07-11,11,555,248,0,0.059000000000000004,0.8384545454545456,0.10254545454545454,-0.6302636363636364
2025-07-12,31,5581,1094,0,0.03387096774193549,0.7857096774193548,0.18029032258064517,-0.6104935483870968
2025-07-13,12,113,60,0,0.06716666666666667,0.7479166666666667,0.18516666666666667,-0.6698083333333334
2025-07-14,7,448,356,0,0.039,0.7705714285714286,0.19,-0.7783571428571429
2025-07-15,3,58,7,0,0.074,0.8523333333333333,0.07366666666666667,0.08220000000000001
2025-07-16,3,240,59,0,0.018,0.7413333333333334,0.24066666666666667,-0.5665
2025-07-17,8,235,209,0,0.081,0.799375,0.1195,-0.161075
2025-07-18,0,0,0,0,,,,
2025-07-19,7,1108,629,0,0.062000000000000006,0.8097142857142857,0.12842857142857142,-0.16829999999999998
